foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
breast_cancer	3	142	288	16247	1.20	7.42e-01	Fisher-Exact		
metabolite_levels	3	98	288	16247	1.76	2.52e-01	Fisher-Exact		
platelet_counts	3	76	288	16247	2.29	1.52e-01	Fisher-Exact		
rheumatoid_arthritis	5	185	288	16247	1.55	2.68e-01	Fisher-Exact		
systemic_lupus_erythematosus	4	90	288	16247	2.60	7.59e-02	Fisher-Exact		
###H3K4me3_Adult_Kidney	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	27	954	16247	4.60	4.12e-03	Fisher-Exact		
cholesterol__total	8	89	954	16247	1.59	2.50e-01	Fisher-Exact		
ulcerative_colitis	9	115	954	16247	1.36	3.22e-01	Fisher-Exact		
crohns_disease	14	193	954	16247	1.26	5.04e-01	Chi-squared		
c-reactive_protein	5	46	954	16247	1.96	1.93e-01	Fisher-Exact		
type_2_diabetes	10	192	954	16247	0.88	8.77e-01	Fisher-Exact		
multiple_sclerosis	15	162	954	16247	1.65	9.39e-02	Chi-squared		
type_1_diabetes	3	78	954	16247	0.64	6.29e-01	Fisher-Exact		
inflammatory_bowel_disease	15	117	954	16247	2.38	2.60e-03	Chi-squared		
ldl_cholesterol	8	103	954	16247	1.35	3.96e-01	Fisher-Exact		
celiac_disease	4	58	954	16247	1.19	7.76e-01	Fisher-Exact		
hdl_cholesterol	8	133	954	16247	1.03	8.53e-01	Fisher-Exact		
breast_cancer	14	142	954	16247	1.76	6.42e-02	Chi-squared		
metabolite_levels	9	98	954	16247	1.63	1.89e-01	Fisher-Exact		
platelet_counts	9	76	954	16247	2.16	4.34e-02	Fisher-Exact		
rheumatoid_arthritis	18	185	954	16247	1.74	3.68e-02	Chi-squared		
systemic_lupus_erythematosus	11	90	954	16247	2.25	1.90e-02	Chi-squared		
###H3K4me3_Colon_Smooth_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	721	16247	4.92	6.08e-03	Fisher-Exact		
cholesterol__total	7	89	721	16247	1.85	1.18e-01	Fisher-Exact		
ulcerative_colitis	9	115	721	16247	1.84	1.04e-01	Fisher-Exact		
crohns_disease	14	193	721	16247	1.70	8.27e-02	Chi-squared		
c-reactive_protein	3	46	721	16247	1.50	4.58e-01	Fisher-Exact		
type_2_diabetes	6	192	721	16247	0.69	4.80e-01	Fisher-Exact		
multiple_sclerosis	7	162	721	16247	0.97	1.00e+00	Fisher-Exact		
type_1_diabetes	3	78	721	16247	0.86	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	13	117	721	16247	2.72	9.93e-04	Chi-squared		
ldl_cholesterol	7	103	721	16247	1.58	2.27e-01	Fisher-Exact		
celiac_disease	3	58	721	16247	1.18	7.43e-01	Fisher-Exact		
hdl_cholesterol	7	133	721	16247	1.20	6.69e-01	Fisher-Exact		
breast_cancer	15	142	721	16247	2.58	7.92e-04	Chi-squared		
metabolite_levels	7	98	721	16247	1.66	2.09e-01	Fisher-Exact		
platelet_counts	8	76	721	16247	2.55	1.92e-02	Fisher-Exact		
rheumatoid_arthritis	9	185	721	16247	1.10	7.19e-01	Fisher-Exact		
systemic_lupus_erythematosus	8	90	721	16247	2.11	6.29e-02	Fisher-Exact		
###H3K4me3_Skeletal_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	1147	16247	3.00	3.82e-02	Fisher-Exact		
cholesterol__total	8	89	1147	16247	1.30	4.10e-01	Fisher-Exact		
ulcerative_colitis	10	115	1147	16247	1.26	4.63e-01	Fisher-Exact		
crohns_disease	14	193	1147	16247	1.03	9.72e-01	Chi-squared		
c-reactive_protein	3	46	1147	16247	0.92	1.00e+00	Fisher-Exact		
type_2_diabetes	16	192	1147	16247	1.20	5.81e-01	Chi-squared		
multiple_sclerosis	19	162	1147	16247	1.76	2.95e-02	Chi-squared		
type_1_diabetes	8	78	1147	16247	1.51	2.64e-01	Fisher-Exact		
inflammatory_bowel_disease	18	117	1147	16247	2.42	8.17e-04	Chi-squared		
ldl_cholesterol	9	103	1147	16247	1.26	4.42e-01	Fisher-Exact		
celiac_disease	6	58	1147	16247	1.52	3.01e-01	Fisher-Exact		
hdl_cholesterol	18	133	1147	16247	2.08	5.84e-03	Chi-squared		
breast_cancer	15	142	1147	16247	1.56	1.41e-01	Chi-squared		
metabolite_levels	8	98	1147	16247	1.17	6.90e-01	Fisher-Exact		
platelet_counts	12	76	1147	16247	2.48	5.89e-03	Chi-squared		
rheumatoid_arthritis	20	185	1147	16247	1.61	6.30e-02	Chi-squared		
systemic_lupus_erythematosus	12	90	1147	16247	2.04	3.37e-02	Chi-squared		
###H3K4me3_Muscle_Satellite_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	27	991	16247	4.42	4.96e-03	Fisher-Exact		
cholesterol__total	9	89	991	16247	1.74	1.17e-01	Fisher-Exact		
ulcerative_colitis	7	115	991	16247	1.00	1.00e+00	Fisher-Exact		
crohns_disease	15	193	991	16247	1.30	4.09e-01	Chi-squared		
c-reactive_protein	3	46	991	16247	1.07	7.58e-01	Fisher-Exact		
type_2_diabetes	11	192	991	16247	0.93	9.49e-01	Chi-squared		
multiple_sclerosis	17	162	991	16247	1.82	2.90e-02	Chi-squared		
type_1_diabetes	3	78	991	16247	0.61	6.32e-01	Fisher-Exact		
inflammatory_bowel_disease	15	117	991	16247	2.28	4.31e-03	Chi-squared		
ldl_cholesterol	10	103	991	16247	1.66	1.43e-01	Fisher-Exact		
celiac_disease	5	58	991	16247	1.45	4.02e-01	Fisher-Exact		
hdl_cholesterol	12	133	991	16247	1.53	2.18e-01	Chi-squared		
breast_cancer	13	142	991	16247	1.56	1.76e-01	Chi-squared		
metabolite_levels	7	98	991	16247	1.19	6.69e-01	Fisher-Exact		
platelet_counts	12	76	991	16247	2.91	9.74e-04	Chi-squared		
rheumatoid_arthritis	11	185	991	16247	0.97	9.47e-01	Chi-squared		
systemic_lupus_erythematosus	10	90	991	16247	1.93	7.06e-02	Fisher-Exact		
###H3K4me3_CD4_Naive_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	747	16247	4.74	7.05e-03	Fisher-Exact		
cholesterol__total	7	89	747	16247	1.78	1.30e-01	Fisher-Exact		
ulcerative_colitis	11	115	747	16247	2.21	1.99e-02	Chi-squared		
crohns_disease	22	193	747	16247	2.72	1.27e-05	Chi-squared		
c-reactive_protein	2	46	747	16247	0.94	1.00e+00	Fisher-Exact		
type_2_diabetes	5	192	747	16247	0.55	2.25e-01	Fisher-Exact		
multiple_sclerosis	24	162	747	16247	3.70	1.43e-09	Chi-squared		
type_1_diabetes	11	78	747	16247	3.44	1.79e-04	Chi-squared		
inflammatory_bowel_disease	21	117	747	16247	4.64	2.10e-11	Chi-squared		
ldl_cholesterol	6	103	747	16247	1.29	4.78e-01	Fisher-Exact		
celiac_disease	9	58	747	16247	3.85	1.23e-03	Fisher-Exact		
hdl_cholesterol	9	133	747	16247	1.51	2.12e-01	Fisher-Exact		
breast_cancer	12	142	747	16247	1.93	4.54e-02	Chi-squared		
metabolite_levels	6	98	747	16247	1.36	4.61e-01	Fisher-Exact		
platelet_counts	9	76	747	16247	2.81	7.93e-03	Fisher-Exact		
rheumatoid_arthritis	21	185	747	16247	2.70	2.29e-05	Chi-squared		
systemic_lupus_erythematosus	10	90	747	16247	2.62	8.23e-03	Fisher-Exact		
###H3K4me3_CD4_Memory_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	720	16247	4.93	6.04e-03	Fisher-Exact		
cholesterol__total	5	89	720	16247	1.29	5.99e-01	Fisher-Exact		
ulcerative_colitis	7	115	720	16247	1.40	3.59e-01	Fisher-Exact		
crohns_disease	21	193	720	16247	2.68	2.62e-05	Chi-squared		
c-reactive_protein	3	46	720	16247	1.51	4.58e-01	Fisher-Exact		
type_2_diabetes	6	192	720	16247	0.69	4.80e-01	Fisher-Exact		
multiple_sclerosis	26	162	720	16247	4.24	2.07e-12	Chi-squared		
type_1_diabetes	10	78	720	16247	3.20	2.27e-03	Fisher-Exact		
inflammatory_bowel_disease	23	117	720	16247	5.42	5.87e-15	Chi-squared		
ldl_cholesterol	4	103	720	16247	0.87	1.00e+00	Fisher-Exact		
celiac_disease	9	58	720	16247	4.00	9.51e-04	Fisher-Exact		
hdl_cholesterol	6	133	720	16247	1.02	8.34e-01	Fisher-Exact		
breast_cancer	14	142	720	16247	2.39	3.16e-03	Chi-squared		
metabolite_levels	6	98	720	16247	1.41	4.52e-01	Fisher-Exact		
platelet_counts	8	76	720	16247	2.55	1.90e-02	Fisher-Exact		
rheumatoid_arthritis	21	185	720	16247	2.81	9.87e-06	Chi-squared		
systemic_lupus_erythematosus	11	90	720	16247	3.03	8.24e-04	Chi-squared		
###H3K4me3_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	8	27	1485	16247	4.20	2.18e-03	Fisher-Exact		
cholesterol__total	11	89	1485	16247	1.40	3.83e-01	Chi-squared		
ulcerative_colitis	13	115	1485	16247	1.27	5.18e-01	Chi-squared		
crohns_disease	27	193	1485	16247	1.63	2.60e-02	Chi-squared		
c-reactive_protein	4	46	1485	16247	0.95	1.00e+00	Fisher-Exact		
type_2_diabetes	22	192	1485	16247	1.29	3.20e-01	Chi-squared		
multiple_sclerosis	20	162	1485	16247	1.41	1.98e-01	Chi-squared		
type_1_diabetes	3	78	1485	16247	0.40	1.16e-01	Fisher-Exact		
inflammatory_bowel_disease	21	117	1485	16247	2.19	1.59e-03	Chi-squared		
ldl_cholesterol	14	103	1485	16247	1.57	1.61e-01	Chi-squared		
celiac_disease	7	58	1485	16247	1.37	4.89e-01	Fisher-Exact		
hdl_cholesterol	18	133	1485	16247	1.56	1.06e-01	Chi-squared		
breast_cancer	18	142	1485	16247	1.45	1.86e-01	Chi-squared		
metabolite_levels	11	98	1485	16247	1.26	5.88e-01	Chi-squared		
platelet_counts	17	76	1485	16247	2.89	1.38e-04	Chi-squared		
rheumatoid_arthritis	23	185	1485	16247	1.42	1.51e-01	Chi-squared		
systemic_lupus_erythematosus	14	90	1485	16247	1.84	5.31e-02	Chi-squared		
###H3K4me3_Brain_Mid_Frontal_Lobe	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	27	602	16247	3.26	7.67e-02	Fisher-Exact		
cholesterol__total	4	89	602	16247	1.22	5.73e-01	Fisher-Exact		
ulcerative_colitis	3	115	602	16247	0.69	8.02e-01	Fisher-Exact		
crohns_disease	6	193	602	16247	0.83	8.48e-01	Fisher-Exact		
c-reactive_protein	3	46	602	16247	1.82	2.42e-01	Fisher-Exact		
type_2_diabetes	4	192	602	16247	0.55	3.32e-01	Fisher-Exact		
multiple_sclerosis	10	162	602	16247	1.72	9.48e-02	Fisher-Exact		
type_1_diabetes	1	78	602	16247	0.34	3.72e-01	Fisher-Exact		
inflammatory_bowel_disease	10	117	602	16247	2.45	1.16e-02	Fisher-Exact		
ldl_cholesterol	5	103	602	16247	1.33	4.35e-01	Fisher-Exact		
celiac_disease	3	58	602	16247	1.42	4.76e-01	Fisher-Exact		
hdl_cholesterol	7	133	602	16247	1.45	3.49e-01	Fisher-Exact		
breast_cancer	6	142	602	16247	1.15	6.54e-01	Fisher-Exact		
metabolite_levels	5	98	602	16247	1.40	4.15e-01	Fisher-Exact		
platelet_counts	7	76	602	16247	2.66	2.23e-02	Fisher-Exact		
rheumatoid_arthritis	9	185	602	16247	1.33	4.28e-01	Fisher-Exact		
systemic_lupus_erythematosus	6	90	602	16247	1.86	1.50e-01	Fisher-Exact		
###H3K4me3_Brain_Anterior_Caudate	Strand: Both	Score threshold: NA	No Description###
telomere_length	7	27	960	16247	5.61	7.69e-04	Fisher-Exact		
cholesterol__total	9	89	960	16247	1.80	1.08e-01	Fisher-Exact		
ulcerative_colitis	5	115	960	16247	0.72	6.89e-01	Fisher-Exact		
crohns_disease	10	193	960	16247	0.87	8.77e-01	Fisher-Exact		
c-reactive_protein	3	46	960	16247	1.11	7.52e-01	Fisher-Exact		
type_2_diabetes	8	192	960	16247	0.69	3.57e-01	Fisher-Exact		
multiple_sclerosis	17	162	960	16247	1.88	2.03e-02	Chi-squared		
type_1_diabetes	5	78	960	16247	1.09	8.08e-01	Fisher-Exact		
inflammatory_bowel_disease	13	117	960	16247	2.00	2.79e-02	Chi-squared		
ldl_cholesterol	14	103	960	16247	2.53	1.88e-03	Chi-squared		
celiac_disease	3	58	960	16247	0.87	1.00e+00	Fisher-Exact		
hdl_cholesterol	9	133	960	16247	1.16	5.82e-01	Fisher-Exact		
breast_cancer	13	142	960	16247	1.61	1.42e-01	Chi-squared		
metabolite_levels	11	98	960	16247	2.03	4.30e-02	Chi-squared		
platelet_counts	12	76	960	16247	3.01	6.31e-04	Chi-squared		
rheumatoid_arthritis	16	185	960	16247	1.52	1.52e-01	Chi-squared		
systemic_lupus_erythematosus	9	90	960	16247	1.78	1.11e-01	Fisher-Exact		
###H3K4me3_Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	27	1252	16247	3.43	1.50e-02	Fisher-Exact		
cholesterol__total	13	89	1252	16247	2.06	2.45e-02	Chi-squared		
ulcerative_colitis	9	115	1252	16247	1.02	8.62e-01	Fisher-Exact		
crohns_disease	16	193	1252	16247	1.08	8.65e-01	Chi-squared		
c-reactive_protein	4	46	1252	16247	1.14	7.79e-01	Fisher-Exact		
type_2_diabetes	18	192	1252	16247	1.24	4.62e-01	Chi-squared		
multiple_sclerosis	18	162	1252	16247	1.50	1.37e-01	Chi-squared		
type_1_diabetes	1	78	1252	16247	0.15	3.01e-02	Fisher-Exact		
inflammatory_bowel_disease	19	117	1252	16247	2.34	9.68e-04	Chi-squared		
ldl_cholesterol	13	103	1252	16247	1.74	9.08e-02	Chi-squared		
celiac_disease	4	58	1252	16247	0.89	1.00e+00	Fisher-Exact		
hdl_cholesterol	22	133	1252	16247	2.40	2.40e-04	Chi-squared		
breast_cancer	21	142	1252	16247	2.10	2.52e-03	Chi-squared		
metabolite_levels	11	98	1252	16247	1.52	2.63e-01	Chi-squared		
platelet_counts	12	76	1252	16247	2.26	1.50e-02	Chi-squared		
rheumatoid_arthritis	17	185	1252	16247	1.21	5.34e-01	Chi-squared		
systemic_lupus_erythematosus	14	90	1252	16247	2.22	9.27e-03	Chi-squared		
###H3K4me3_Treg_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	1053	16247	3.29	2.77e-02	Fisher-Exact		
cholesterol__total	10	89	1053	16247	1.83	8.00e-02	Fisher-Exact		
ulcerative_colitis	16	115	1053	16247	2.35	2.22e-03	Chi-squared		
crohns_disease	25	193	1053	16247	2.18	4.20e-04	Chi-squared		
c-reactive_protein	2	46	1053	16247	0.66	7.68e-01	Fisher-Exact		
type_2_diabetes	7	192	1053	16247	0.54	1.38e-01	Fisher-Exact		
multiple_sclerosis	30	162	1053	16247	3.35	1.10e-09	Chi-squared		
type_1_diabetes	17	78	1053	16247	4.07	1.32e-07	Chi-squared		
inflammatory_bowel_disease	31	117	1053	16247	5.33	5.78e-18	Chi-squared		
ldl_cholesterol	7	103	1053	16247	1.05	8.40e-01	Fisher-Exact		
celiac_disease	12	58	1053	16247	3.80	3.53e-05	Chi-squared		
hdl_cholesterol	8	133	1053	16247	0.92	1.00e+00	Fisher-Exact		
breast_cancer	16	142	1053	16247	1.85	3.11e-02	Chi-squared		
metabolite_levels	7	98	1053	16247	1.11	6.83e-01	Fisher-Exact		
platelet_counts	16	76	1053	16247	3.89	7.88e-07	Chi-squared		
rheumatoid_arthritis	39	185	1053	16247	3.96	1.69e-15	Chi-squared		
systemic_lupus_erythematosus	17	90	1053	16247	3.40	4.65e-06	Chi-squared		
###H3K4me3_Rectal_Smooth_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	791	16247	4.46	8.93e-03	Fisher-Exact		
cholesterol__total	8	89	791	16247	1.94	7.96e-02	Fisher-Exact		
ulcerative_colitis	10	115	791	16247	1.87	7.56e-02	Fisher-Exact		
crohns_disease	17	193	791	16247	1.91	1.68e-02	Chi-squared		
c-reactive_protein	2	46	791	16247	0.89	1.00e+00	Fisher-Exact		
type_2_diabetes	8	192	791	16247	0.85	8.65e-01	Fisher-Exact		
multiple_sclerosis	15	162	791	16247	2.01	1.53e-02	Chi-squared		
type_1_diabetes	3	78	791	16247	0.78	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	18	117	791	16247	3.61	3.60e-07	Chi-squared		
ldl_cholesterol	9	103	791	16247	1.88	9.99e-02	Fisher-Exact		
celiac_disease	3	58	791	16247	1.07	7.60e-01	Fisher-Exact		
hdl_cholesterol	6	133	791	16247	0.92	1.00e+00	Fisher-Exact		
breast_cancer	14	142	791	16247	2.16	9.89e-03	Chi-squared		
metabolite_levels	7	98	791	16247	1.51	3.38e-01	Fisher-Exact		
platelet_counts	11	76	791	16247	3.34	2.80e-04	Chi-squared		
rheumatoid_arthritis	15	185	791	16247	1.74	5.91e-02	Chi-squared		
systemic_lupus_erythematosus	11	90	791	16247	2.75	2.66e-03	Chi-squared		
###H3K4me3_Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	27	1031	16247	4.24	6.02e-03	Fisher-Exact		
cholesterol__total	10	89	1031	16247	1.88	7.54e-02	Fisher-Exact		
ulcerative_colitis	9	115	1031	16247	1.26	4.45e-01	Fisher-Exact		
crohns_disease	15	193	1031	16247	1.25	5.03e-01	Chi-squared		
c-reactive_protein	2	46	1031	16247	0.67	1.00e+00	Fisher-Exact		
type_2_diabetes	10	192	1031	16247	0.81	6.54e-01	Fisher-Exact		
multiple_sclerosis	16	162	1031	16247	1.63	9.09e-02	Chi-squared		
type_1_diabetes	2	78	1031	16247	0.39	2.41e-01	Fisher-Exact		
inflammatory_bowel_disease	12	117	1031	16247	1.69	1.21e-01	Chi-squared		
ldl_cholesterol	16	103	1031	16247	2.74	2.78e-04	Chi-squared		
celiac_disease	4	58	1031	16247	1.09	7.86e-01	Fisher-Exact		
hdl_cholesterol	12	133	1031	16247	1.47	2.74e-01	Chi-squared		
breast_cancer	15	142	1031	16247	1.75	5.77e-02	Chi-squared		
metabolite_levels	9	98	1031	16247	1.50	2.93e-01	Fisher-Exact		
platelet_counts	10	76	1031	16247	2.25	2.82e-02	Fisher-Exact		
rheumatoid_arthritis	14	185	1031	16247	1.21	5.93e-01	Chi-squared		
systemic_lupus_erythematosus	10	90	1031	16247	1.85	7.79e-02	Fisher-Exact		
###H3K4me3_Rectal_Mucosa	Strand: Both	Score threshold: NA	No Description###
telomere_length	7	27	1103	16247	4.83	1.74e-03	Fisher-Exact		
cholesterol__total	9	89	1103	16247	1.55	2.03e-01	Fisher-Exact		
ulcerative_colitis	17	115	1103	16247	2.40	1.22e-03	Chi-squared		
crohns_disease	23	193	1103	16247	1.88	6.83e-03	Chi-squared		
c-reactive_protein	4	46	1103	16247	1.31	5.52e-01	Fisher-Exact		
type_2_diabetes	10	192	1103	16247	0.75	4.70e-01	Fisher-Exact		
multiple_sclerosis	21	162	1103	16247	2.07	2.86e-03	Chi-squared		
type_1_diabetes	10	78	1103	16247	2.03	4.18e-02	Fisher-Exact		
inflammatory_bowel_disease	26	117	1103	16247	3.99	9.43e-11	Chi-squared		
ldl_cholesterol	11	103	1103	16247	1.65	1.68e-01	Chi-squared		
celiac_disease	10	58	1103	16247	2.88	5.26e-03	Fisher-Exact		
hdl_cholesterol	11	133	1103	16247	1.24	6.11e-01	Chi-squared		
breast_cancer	15	142	1103	16247	1.63	1.03e-01	Chi-squared		
metabolite_levels	7	98	1103	16247	1.06	8.40e-01	Fisher-Exact		
platelet_counts	13	76	1103	16247	2.86	7.94e-04	Chi-squared		
rheumatoid_arthritis	23	185	1103	16247	1.97	3.48e-03	Chi-squared		
systemic_lupus_erythematosus	15	90	1103	16247	2.77	4.23e-04	Chi-squared		
